SSR target (%),Min BESS Power (MW),Min BESS Energy (MWh),BESS duration (h),Achieved SSR (%),Achieved SCR (%),Peak grid import (MW)
5.0,0.0,0.0,0.0,20.2,37.0,88.5
10.0,0.0,0.0,0.0,20.2,37.0,88.5
15.0,0.0,0.0,0.0,20.2,37.0,88.5
20.0,0.0,0.0,0.0,20.2,37.0,88.5
25.0,0.0,0.0,0.0,25.0,45.8,88.2
30.0,0.0,0.0,0.0,30.0,55.0,88.2
35.0,0.0,0.0,0.0,35.0,64.1,88.2
40.0,3.4,6.8,2.0,40.0,73.4,82.2
45.0,62.5,125.1,2.0,45.0,83.6,82.2
50.0,76.4,324.5,4.2,50.0,93.7,82.2
